playedPositionsShort,tacklePerGame,interceptionPerGame,clearancePerGame,outfielderBlockPerGame,firstName,lastName,name
D(R),1.0,0.403846153846,0.0875,0.0,Mathieu,Debuchy,Mathieu Debuchy
M(CLR),0.703703703704,0.717948717949,0.160416666667,0.291666666667,Francis,Coquelin,Francis Coquelin
D(CL),0.569444444444,0.774038461538,0.546875,0.364583333333,Nacho,Monreal,Nacho Monreal
M(CR),0.5,0.426282051282,0.0583333333333,0.0972222222222,Aaron,Ramsey,Aaron Ramsey
"AM(CLR),FW",0.412698412698,0.211538461538,0.0375,0.0833333333333,Alexis,Sánchez,Alexis Sánchez
D(C),0.412698412698,0.730769230769,1.0,0.166666666667,Gabriel Armando,de Abreu,Gabriel Armando de Abreu
"D(R),M(R)",0.396825396825,0.5,0.4625,0.166666666667,Héctor,Bellerín,Héctor Bellerín
M(CLR),0.396825396825,0.480769230769,0.175,0.0833333333333,Santiago,Cazorla,Santiago Cazorla
D(C),0.349206349206,1.0,0.95,1.0,Laurent,Koscielny,Laurent Koscielny
DM(C),0.349206349206,0.384615384615,0.25,0.333333333333,Mathieu,Flamini,Mathieu Flamini
D(C),0.343434343434,0.367132867133,0.890909090909,0.424242424242,Per,Mertesacker,Per Mertesacker
"AM(LR),FW",0.259259259259,0.134615384615,0.0291666666667,0.0,Joel,Campbell,Joel Campbell
"DM(C),M(L)",0.253968253968,0.230769230769,0.2,0.166666666667,Mikel,Arteta,Mikel Arteta
AM(CLR),0.237037037037,0.179487179487,0.0933333333333,0.0,Mesut,Özil,Mesut Özil
D(CR),0.222222222222,0.215384615385,0.49,0.7,Calum,Chambers,Calum Chambers
D(L),0.194444444444,0.134615384615,0.021875,0.0,Kieran,Gibbs,Kieran Gibbs
M(CLR),0.17094017094,0.144970414201,0.0807692307692,0.358974358974,Alex,Oxlade-Chamberlain,Alex Oxlade-Chamberlain
FW,0.166666666667,0.100961538462,0.0875,0.0729166666667,Olivier,Giroud,Olivier Giroud
"AM(R),FW",0.0444444444444,0.107692307692,0.035,0.0,Theo,Walcott,Theo Walcott
M,0.0,0.0,0.0,0.0,Alex,Iwobi,Alex Iwobi
GK,0.0,0.0,0.196875,0.0,Petr,Cech,Petr Cech
