R,Team,P,W,D,L,GF,GA,GD,Pts,Form,PPG,CNTRY
1,Manchester City,12,8,2,2,26,9,17,26,LWWDWD,2.1666666666666665,England
2,Arsenal,12,8,2,2,22,9,13,26,WWWWWD,2.1666666666666665,England
3,Leicester,12,7,4,1,25,20,5,25,LWDWWW,2.083333333333333,England
4,Manchester United,12,7,3,2,17,8,9,24,WLWDDW,2.0,England
5,Tottenham,12,5,6,1,20,10,10,21,WDDWWD,1.75,England
6,West Ham,12,6,3,3,23,16,7,21,DDWWLD,1.75,England
7,Southampton,12,5,5,2,19,13,6,20,WWDDWW,1.6666666666666667,England
8,Crystal Palace,12,6,1,5,14,12,2,19,WWLLDW,1.5833333333333333,England
9,Everton,12,4,5,3,20,16,4,17,WDLLWD,1.4166666666666667,England
10,Liverpool,12,4,5,3,13,14,-1,17,WDDDWL,1.4166666666666667,England
11,Watford,12,4,4,4,11,12,-1,16,LDLWWL,1.3333333333333333,England
12,Stoke,12,4,4,4,10,12,-2,16,WWWLDW,1.3333333333333333,England
13,West Bromwich Albion,12,4,2,6,10,16,-6,14,LLWWLL,1.1666666666666667,England
14,Swansea,12,3,4,5,12,16,-4,13,LDLWLL,1.0833333333333333,England
15,Norwich,12,3,3,6,16,23,-7,12,DLLLLW,1.0,England
16,Chelsea,12,3,2,7,16,23,-7,11,DLWLLL,0.9166666666666666,England
17,Newcastle United,12,2,4,6,13,22,-9,10,DLWLDW,0.8333333333333334,England
18,Bournemouth,12,2,2,8,12,25,-13,8,LDLLLL,0.6666666666666666,England
19,Sunderland,12,1,3,8,13,26,-13,6,LDLWLL,0.5,England
20,Aston Villa,12,1,2,9,10,20,-10,5,LLLLLD,0.4166666666666667,England
1,Paris Saint Germain,13,11,2,0,31,6,25,35,WWWWWW,2.6923076923076925,France
2,Lyon,13,7,4,2,19,7,12,25,LWDWWW,1.9230769230769231,France
3,Caen,13,8,0,5,14,14,0,24,WWWLLW,1.8461538461538465,France
4,Angers,13,6,4,3,12,9,3,22,WWWDLL,1.6923076923076923,France
5,Saint-Etienne,13,7,1,5,17,17,0,22,LLWLWL,1.6923076923076923,France
6,Nice,13,6,3,4,27,17,10,21,WWLDLW,1.6153846153846154,France
7,Lorient,13,5,5,3,22,18,4,20,LWDDDW,1.5384615384615383,France
8,Rennes,13,5,5,3,17,14,3,20,DDLDLW,1.5384615384615383,France
9,Monaco,13,5,5,3,17,18,-1,20,DDDWWL,1.5384615384615383,France
10,Nantes,13,6,1,6,12,14,-2,19,WWWLWL,1.4615384615384617,France
11,Bordeaux,13,4,5,4,17,19,-2,17,WLDWLW,1.3076923076923077,France
12,Guingamp,13,4,4,5,13,17,-4,16,DWDDDL,1.2307692307692308,France
13,Marseille,13,4,3,6,18,14,4,15,LLDWWL,1.1538461538461535,France
14,Reims,13,4,3,6,12,14,-2,15,WLLLLL,1.1538461538461535,France
15,SC Bastia,13,4,2,7,14,19,-5,14,WLLLWD,1.0769230769230769,France
16,Lille,13,2,7,4,7,8,-1,13,LWDLDD,1.0,France
17,Montpellier,13,3,3,7,11,16,-5,12,WLDWDW,0.9230769230769232,France
18,GFC Ajaccio,13,3,3,7,11,17,-6,12,LDLWWW,0.9230769230769232,France
19,Toulouse,13,1,6,6,12,26,-14,9,LDLLDL,0.6923076923076923,France
20,Troyes,13,0,4,9,6,25,-19,4,DLLLLL,0.3076923076923077,France
1,Fiorentina,12,9,0,3,24,9,15,27,WLLWWW,2.25,Italy
2,Inter,12,8,3,1,12,7,5,27,DDDWWW,2.25,Italy
3,Roma,12,8,2,2,27,13,14,26,WWWWLW,2.1666666666666665,Italy
4,Napoli,12,7,4,1,22,8,14,25,WWWWDW,2.083333333333333,Italy
5,Sassuolo,12,6,4,2,14,10,4,22,LWLWDW,1.8333333333333333,Italy
6,AC Milan,12,6,2,4,15,16,-1,20,LDWWWD,1.6666666666666667,Italy
7,Juventus,12,5,3,4,16,11,5,18,WDWLWW,1.5,Italy
8,Atalanta,12,5,3,4,13,14,-1,18,LWLWLD,1.5,Italy
9,Lazio,12,6,0,6,16,20,-4,18,WLWLLL,1.5,Italy
10,Sampdoria,12,4,4,4,19,17,2,16,DLWDDL,1.3333333333333333,Italy
11,Torino,12,4,3,5,17,18,-1,15,LDLDLL,1.25,Italy
12,Empoli,12,4,2,6,13,18,-5,14,WLWDWL,1.1666666666666667,Italy
13,Palermo,12,4,2,6,12,16,-4,14,LWDLLW,1.1666666666666667,Italy
14,Genoa,12,3,4,5,12,16,-4,13,DWLDDD,1.0833333333333333,Italy
15,Chievo,12,3,4,5,14,12,2,13,DLLLDL,1.0833333333333333,Italy
16,Udinese,12,3,3,6,10,15,-5,12,DDWLDL,1.0,Italy
17,Bologna,12,4,0,8,11,15,-4,12,LLWLWW,1.0,Italy
18,Frosinone,12,3,2,7,11,18,-7,11,LWLWLD,0.9166666666666666,Italy
19,Verona,12,0,6,6,8,19,-11,6,DDLLDL,0.5,Italy
20,Carpi,12,1,3,8,10,24,-14,6,WLLLDL,0.5,Italy
1,Bayern Munich,12,11,1,0,37,4,33,34,WWWWDW,2.833333333333333,Germany
2,Borussia Dortmund,12,9,2,1,35,15,20,29,DLWWWW,2.4166666666666665,Germany
3,Wolfsburg,12,6,3,3,17,15,2,21,DLWWWL,1.75,Germany
4,Hertha Berlin,12,6,2,4,17,15,2,20,DWLWLW,1.6666666666666667,Germany
5,Schalke 04,12,6,2,4,16,16,0,20,WLWLDL,1.6666666666666667,Germany
6,Borussia M.Gladbach,12,6,1,5,23,18,5,19,WWWWWD,1.5833333333333333,Germany
7,FC Cologne,12,5,3,4,15,18,-3,18,DWLLDW,1.5,Germany
8,Bayer Leverkusen,12,5,2,5,14,16,-2,17,WDDWLL,1.4166666666666667,Germany
9,Mainz 05,12,5,1,6,18,19,-1,16,LWLLDW,1.3333333333333333,Germany
10,Ingolstadt,12,4,4,4,7,9,-2,16,DWLLDD,1.3333333333333333,Germany
11,Hamburger SV,12,4,3,5,11,16,-5,15,LLDWLD,1.25,Germany
12,Eintracht Frankfurt,12,3,5,4,16,17,-1,14,DLLWDD,1.1666666666666667,Germany
13,Darmstadt,12,3,5,4,13,16,-3,14,DLWLLD,1.1666666666666667,Germany
14,Werder Bremen,12,4,1,7,13,19,-6,13,LLLWLW,1.0833333333333333,Germany
15,Hannover 96,12,3,2,7,12,22,-10,11,DWWLWL,0.9166666666666666,Germany
16,VfB Stuttgart,12,3,1,8,17,27,-10,10,LDWLWL,0.8333333333333334,Germany
17,Hoffenheim,12,1,5,6,12,19,-7,8,WDLLDD,0.6666666666666666,Germany
18,Augsburg,12,1,3,8,13,25,-12,6,LDLLDL,0.5,Germany
1,Barcelona,11,9,0,2,25,12,13,27,WLWWWW,2.4545454545454546,Spain
2,Real Madrid,11,7,3,1,26,7,19,24,DDWWWL,2.1818181818181817,Spain
3,Atletico Madrid,11,7,2,2,16,6,10,23,LDWWDW,2.090909090909091,Spain
4,Celta Vigo,11,6,3,2,22,18,4,21,DDWLWL,1.9090909090909087,Spain
5,Villarreal,11,6,2,3,15,11,4,20,WLLDWL,1.818181818181818,Spain
6,Eibar,11,5,4,2,16,11,5,19,DWDLWW,1.7272727272727273,Spain
7,Valencia,11,5,3,3,16,8,8,18,WLWLWW,1.6363636363636365,Spain
8,Athletic Club,11,5,2,4,18,14,4,17,DWDWWW,1.5454545454545454,Spain
9,Deportivo La Coruna,11,3,6,2,16,13,3,15,WDDLDD,1.3636363636363635,Spain
10,Real Betis,11,4,3,4,11,16,-5,15,WWLDLW,1.3636363636363635,Spain
11,Sevilla,11,4,3,4,17,16,1,15,WWDWLW,1.3636363636363635,Spain
12,Rayo Vallecano,11,4,1,6,13,19,-6,13,LLLWLW,1.181818181818182,Spain
13,Espanyol,11,4,1,6,12,23,-11,13,LLWLDL,1.181818181818182,Spain
14,Sporting Gijon,11,3,3,5,11,15,-4,12,LWDLWL,1.0909090909090908,Spain
15,Getafe,11,3,1,7,11,18,-7,10,WDWLLL,0.9090909090909092,Spain
16,Malaga,11,2,3,6,5,9,-4,9,DWLWLL,0.8181818181818182,Spain
17,Las Palmas,11,2,3,6,9,16,-7,9,LLLDLW,0.8181818181818182,Spain
18,Real Sociedad,11,2,3,6,12,14,-2,9,DLLWLL,0.8181818181818182,Spain
19,Granada,11,1,4,6,11,20,-9,7,LDDDDL,0.6363636363636364,Spain
20,Levante,11,1,4,6,7,23,-16,7,LWLLLD,0.6363636363636364,Spain
