start,end,counts
2,1,3
3,1,1
3,2,2
4,1,2
4,2,2
4,3,3
5,1,1
5,4,1
6,4,2
6,5,2
7,4,1
7,3,2
7,6,3
7,5,4
8,3,2
8,4,2
8,5,3
9,3,1
9,6,3
10,8,1
10,7,2
10,5,2
10,9,3
11,9,1
11,7,1
11,8,1
11,10,1
11,6,2
12,6,1
12,11,1
12,8,1
12,3,1
12,5,1
12,7,3
13,10,1
13,12,1
13,8,1
13,11,2
14,8,1
14,13,1
14,12,2
14,10,2
14,9,4
15,7,1
15,9,1
15,13,1
15,12,1
15,8,1
15,10,2
16,9,1
16,11,1
16,8,1
16,12,1
16,15,2
16,13,2
16,14,2
17,13,1
17,6,1
17,16,1
17,11,2
18,16,1
18,15,1
18,13,1
18,17,2
18,14,3
19,14,1
19,17,1
19,11,1
19,15,1
19,16,2
19,18,2
20,14,1
20,11,1
20,19,2
20,15,2
20,17,2
