start,end,counts
1,5,1
1,4,1
1,3,2
1,2,3
2,5,1
2,7,1
2,3,1
2,10,1
3,9,1
3,13,1
3,8,2
3,4,5
4,5,1
4,11,1
4,6,1
4,8,1
4,7,1
5,12,1
5,15,1
5,10,2
5,7,2
5,8,3
5,6,4
6,9,1
6,10,1
6,16,1
6,17,1
6,14,1
6,11,1
6,8,1
6,12,1
6,7,3
7,15,1
7,10,1
7,8,1
7,9,1
8,19,1
8,17,1
8,13,2
8,10,2
8,16,2
9,17,1
9,10,1
9,14,2
9,12,2
9,11,3
10,18,1
10,16,2
10,12,3
11,14,1
11,17,1
11,12,2
11,13,3
12,18,1
12,16,1
12,13,2
12,15,2
13,18,1
13,17,2
13,16,2
13,15,2
13,14,2
14,16,1
14,19,2
15,20,1
15,16,1
15,18,1
15,17,2
16,17,1
16,18,3
17,20,1
17,18,4
17,19,4
18,19,2
18,20,3
19,20,3
